venue,submission,notification,camera_ready,conf_day1,url
ACL,06-Feb-2017,30-Mar-2017,NA,30-Jul-2017,http://acl2017.org/
ICRA,15-Sep-2016,NA,25-Feb-2017,29-May-2017,http://www.icra2017.org/
SIGMOD,19-Jun-2016,30-Oct-2016,12-Feb-2017,14-May-2017,http://sigmod2017.org/
AAAI,14-Sep-2016,11-Nov-2016,28-Nov-2016,4-Feb-2017,http://www.aaai.org/Conferences/AAAI/aaai17.php
CAV,24-Jan-2017,12-Apr-2017,5-May-2017,24-Jul-2017,http://cavconference.org/2017/
EMNLP,14-Apr-2017,30-Jun-2017,21-Jul-2017,9-Sep-2017,http://emnlp2017.net/
ICML,24-Feb-2017,13-May-2017,13-Jun-2017,7-Aug-2017,"https://2017.icml.cc/ Paper deadline from CS email"
IJCAI,20-Feb-2017,23-Apr-2017,23-May-2017,19-Aug-2017,https://proceedings.ijcai.org/info
KDD,17-Feb-2017,19-May-2017,9-Jun-2017,13-Aug-2017,http://www.kdd.org/kdd2017/
LICS,9-Jan-2017,21-Mar-2017,18-Apr-2017,20-Jun-2017,http://lics.siglog.org/lics17/cfp.html
POPL,6-Jul-2016,3-Oct-2016,7-Nov-2016,15-Jan-2017,https://conf.researchr.org/home/POPL-2017
SIGIR,24-Jan-2017,11-Apr-2017,NA,8-Aug-2017,http://sigir.org/sigir2017/submit/call-for-full-papers/
SODA,13-Jul-2016,1-Oct-2016,NA,16-Jan-2017,"Notification date approximate based on note here: https://www.siam.org/meetings/da17/proceedings.php"
STOC,2-Nov-2016,8-Feb-2017,10-Apr-2017,19-Jun-2017,"http://acm-stoc.org/stoc2017/"
WWW,24-Oct-2016,21-Dec-2016,14-Feb-2017,3-Apr-2017,"http://www2017.com.au/news/post.php?s=2016-12-16-important-dates-www2017"
